Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
102,2019,Darren Sproles (FA),17,66,3.9,17,0,0,6,10,24,4.0,0,0,6,11.0,1.8,0.1%
73,2018,Darren Sproles (FA),29,120,4.1,17,0,1,15,23,160,10.7,2,0,6,46.0,7.7,0.1%
110,2017,Darren Sproles (FA),15,61,4.1,12,0,0,7,12,73,10.4,0,1,3,11.4,3.8,0.1%
30,2016,Darren Sproles (FA),94,438,4.7,25,1,2,52,71,427,8.2,2,0,15,110.5,7.4,0.1%
41,2015,Darren Sproles (FA),83,317,3.8,27,1,3,55,83,388,7.1,1,0,16,94.5,5.9,0.1%
31,2014,Darren Sproles (FA),57,329,5.8,49,2,6,40,62,387,9.7,0,1,15,105.6,7.0,0.1%
36,2013,Darren Sproles (FA),53,220,4.2,38,1,2,71,89,604,8.5,2,2,15,102.4,6.8,0.1%
22,2012,Darren Sproles (FA),48,244,5.1,47,2,1,75,104,667,8.9,7,0,13,141.1,10.9,0.1%
10,2011,Darren Sproles (FA),87,603,6.9,36,0,2,86,112,710,8.3,7,0,16,185.3,11.6,0.1%
45,2010,Darren Sproles (FA),50,267,5.3,34,0,0,59,75,520,8.8,2,3,16,84.7,5.3,0.1%
34,2009,Darren Sproles (FA),93,343,3.7,21,0,3,45,57,497,11.0,4,1,16,124.0,7.8,0.1%
37,2008,Darren Sproles (FA),61,330,5.4,37,0,1,29,0,342,11.8,5,0,16,103.2,6.5,0.1%
61,2007,Darren Sproles (FA),37,164,4.4,34,0,2,10,0,31,3.1,0,0,15,31.5,2.1,0.1%
129,2005,Darren Sproles (FA),8,50,6.3,21,0,0,3,0,10,3.3,0,0,15,6.0,0.4,0.1%
