Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
109,2011,Jimmy Kleinsasser (FA),1,6,4,4.0,4,0,0,0,0,0,0,8,0.4,0.1,0.0%
59,2010,Jimmy Kleinsasser (FA),17,21,148,8.7,20,0,0,0,0,0,0,15,14.8,1.0,0.0%
73,2009,Jimmy Kleinsasser (FA),10,16,70,7.0,21,0,0,0,0,0,0,12,7.0,0.6,0.0%
67,2008,Jimmy Kleinsasser (FA),4,0,65,16.3,34,0,0,0,0,0,0,7,6.5,0.9,0.0%
90,2007,Jimmy Kleinsasser (FA),1,2,4,4.0,4,0,0,0,0,0,0,3,0.4,0.1,0.0%
81,2006,Jimmy Kleinsasser (FA),7,0,47,6.7,14,0,0,0,0,0,0,7,4.7,0.7,0.0%
50,2005,Jimmy Kleinsasser (FA),22,0,171,7.8,15,0,0,0,0,0,0,13,17.1,1.3,0.0%
93,2004,Jimmy Kleinsasser (FA),2,3,24,12.0,18,0,0,0,0,0,0,1,2.4,2.4,0.0%
10,2003,Jimmy Kleinsasser (FA),46,59,401,8.7,19,0,4,2,15,0,0,16,65.6,4.1,0.0%
21,2002,Jimmy Kleinsasser (FA),37,50,393,10.6,39,0,1,6,17,0,0,14,47.0,3.4,0.0%
