Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
39,2011,LaDainian Tomlinson (FA),75,280,3.7,20,0,1,42,61,449,10.7,2,0,14,90.9,6.5,0.0%
17,2010,LaDainian Tomlinson (FA),219,914,4.2,31,0,6,52,79,368,7.1,0,0,15,164.2,10.9,0.0%
19,2009,LaDainian Tomlinson (FA),223,730,3.3,36,0,12,20,30,154,7.7,0,2,14,156.4,11.2,0.0%
17,2008,LaDainian Tomlinson (FA),215,814,3.8,45,0,7,42,0,368,8.8,1,0,12,166.2,13.9,0.0%
10,2007,LaDainian Tomlinson (FA),155,657,4.2,41,0,7,32,11,248,7.8,1,0,8,143.2,17.9,0.0%
1,2006,LaDainian Tomlinson (FA),348,"1,815",5.2,85,0,28,56,0,508,9.1,3,0,16,427.1,26.7,0.0%
3,2005,LaDainian Tomlinson (FA),339,"1,462",4.3,62,0,18,51,9,370,7.3,2,0,16,317.1,19.8,0.0%
3,2004,LaDainian Tomlinson (FA),339,"1,335",3.9,42,0,17,53,66,441,8.3,1,2,15,283.1,18.9,0.0%
2,2003,LaDainian Tomlinson (FA),313,"1,645",5.3,73,0,13,100,137,725,7.3,4,0,16,343.8,21.5,0.0%
3,2002,LaDainian Tomlinson (FA),372,"1,683",4.5,76,0,14,79,101,489,6.2,1,1,16,305.2,19.1,0.0%
