Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
74,2021,Kai Forbath (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0%
41,2020,Kai Forbath (LAR),2,3,66.7,23,0,2,0,0,0,4,5,2,10.0,5.0,3.0%
33,2019,Kai Forbath (LAR),11,11,100.0,50,0,2,1,7,1,11,12,5,53.0,10.6,3.0%
39,2018,Kai Forbath (LAR),4,5,80.0,41,0,2,1,1,0,3,3,3,16.0,5.3,3.0%
11,2017,Kai Forbath (LAR),32,38,84.2,53,0,8,12,6,6,34,39,16,148.0,9.3,3.0%
31,2016,Kai Forbath (LAR),15,15,100.0,51,0,5,5,4,1,11,14,7,62.0,8.9,3.0%
32,2015,Kai Forbath (LAR),10,15,66.7,57,0,2,3,3,2,34,35,11,71.0,6.5,3.0%
23,2014,Kai Forbath (LAR),24,27,88.9,49,0,11,6,7,0,31,31,16,110.0,6.9,3.0%
32,2013,Kai Forbath (LAR),18,22,81.8,50,0,3,10,4,1,26,26,13,86.0,6.6,3.0%
29,2012,Kai Forbath (LAR),17,18,94.4,50,0,3,2,11,1,33,33,11,97.0,8.8,3.0%
