Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
290,2019,Eli Rogers (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
160,2018,Eli Rogers (FA),12,14,79,6.6,17,0,0,1,-4,0,0,3,9.5,3.2,0.0%
124,2017,Eli Rogers (FA),18,36,149,8.3,18,0,1,0,0,0,1,14,18.9,1.4,0.0%
64,2016,Eli Rogers (FA),48,66,594,12.4,39,11,3,1,6,0,0,13,78.0,6.0,0.0%
