Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
164,2019,LeGarrette Blount (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
50,2018,LeGarrette Blount (FA),154,418,2.7,27,2,5,10,15,67,6.7,0,1,16,76.5,4.8,0.1%
39,2017,LeGarrette Blount (FA),173,766,4.4,68,7,2,8,8,50,6.3,1,1,16,99.6,6.2,0.1%
7,2016,LeGarrette Blount (FA),299,"1,161",3.9,44,7,18,7,8,38,5.4,0,1,16,225.9,14.1,0.1%
29,2015,LeGarrette Blount (FA),165,703,4.3,38,4,6,6,7,43,7.2,1,0,12,116.6,9.7,0.1%
37,2014,LeGarrette Blount (FA),125,547,4.4,50,5,5,10,12,54,5.4,0,1,16,88.1,5.5,0.1%
29,2013,LeGarrette Blount (FA),153,772,5.0,47,5,7,2,5,38,19.0,0,2,16,119.0,7.4,0.1%
87,2012,LeGarrette Blount (FA),41,151,3.7,35,1,2,1,2,2,2.0,0,0,13,27.3,2.1,0.1%
32,2011,LeGarrette Blount (FA),184,781,4.2,54,0,5,15,25,148,9.9,0,3,14,116.9,8.4,0.1%
27,2010,LeGarrette Blount (FA),201,"1,007",5.0,53,0,6,5,7,14,2.8,0,3,13,132.1,10.2,0.1%
