Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
150,2019,Roosevelt Nix (FA),0,0,0,0,0,0,2,3,4,2.0,0,0,3,0.4,0.1,0.0%
119,2018,Roosevelt Nix (FA),1,4,4.0,4,0,0,4,6,38,9.5,0,0,16,4.2,0.3,0.0%
107,2017,Roosevelt Nix (FA),3,0,0.0,1,0,1,2,3,6,3.0,1,0,16,12.6,0.8,0.0%
161,2016,Roosevelt Nix (FA),0,0,0,0,0,0,2,2,5,2.5,0,0,10,0.5,0.1,0.0%
149,2015,Roosevelt Nix (FA),0,0,0,0,0,0,2,3,16,8.0,0,0,15,1.6,0.1,0.0%
