Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
109,2015,Miles Austin (FA),13,31,224,17.2,39,4,1,0,0,0,0,11,28.4,2.6,0.0%
68,2014,Miles Austin (FA),47,72,568,12.1,31,7,2,0,0,0,0,12,68.8,5.7,0.0%
117,2013,Miles Austin (FA),24,49,244,10.2,20,1,0,0,0,0,0,11,24.4,2.2,0.0%
26,2012,Miles Austin (FA),66,119,943,14.3,49,13,6,0,0,0,1,16,128.3,8.0,0.0%
44,2011,Miles Austin (FA),43,73,579,13.5,53,0,7,2,3,0,0,10,100.2,10.0,0.0%
11,2010,Miles Austin (FA),69,119,"1,041",15.1,69,0,7,7,93,1,1,16,159.4,10.0,0.0%
3,2009,Miles Austin (FA),81,124,"1,320",16.3,60,0,11,2,-2,0,0,16,197.8,12.4,0.0%
75,2008,Miles Austin (FA),13,0,278,21.4,63,0,3,0,0,0,0,12,45.8,3.8,0.0%
114,2007,Miles Austin (FA),5,0,76,15.2,35,0,0,0,0,0,0,16,7.6,0.5,0.0%
175,2006,Miles Austin (FA),0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
