Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
118,2014,Ronnie Brown (FA),20,63,3.2,11,0,0,5,8,44,8.8,0,0,10,10.7,1.1,0.0%
82,2013,Ronnie Brown (FA),45,157,3.5,13,0,1,8,8,60,7.5,0,0,16,27.7,1.7,0.0%
54,2012,Ronnie Brown (FA),46,220,4.8,21,1,0,49,60,371,7.6,0,0,14,59.1,4.2,0.0%
96,2011,Ronnie Brown (FA),42,136,3.2,15,0,1,0,2,0,0,0,1,16,17.6,1.1,0.0%
30,2010,Ronnie Brown (FA),200,734,3.7,51,0,5,33,42,242,7.3,0,2,16,123.6,7.7,0.0%
32,2009,Ronnie Brown (FA),147,648,4.4,45,0,8,14,20,98,7.0,0,1,9,125.4,13.9,0.0%
13,2008,Ronnie Brown (FA),214,916,4.3,62,0,10,33,5,254,7.7,0,0,16,182.7,11.4,0.0%
13,2007,Ronnie Brown (FA),119,602,5.1,60,0,4,39,0,389,10.0,1,0,7,131.1,18.7,0.0%
25,2006,Ronnie Brown (FA),241,"1,008",4.2,47,0,5,33,0,276,8.4,0,0,13,158.4,12.2,0.0%
22,2005,Ronnie Brown (FA),207,907,4.4,65,0,4,32,0,232,7.3,1,0,15,143.9,9.6,0.0%
