Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
28,2013,David Akers (FA),19,24,79.2,53,1,5,6,4,3,42,42,16,109.0,6.8,0.0%
9,2012,David Akers (FA),29,42,69.0,63,1,8,11,7,2,44,44,16,142.0,8.9,0.0%
1,2011,David Akers (FA),44,52,84.6,55,2,16,13,6,7,34,34,16,190.6,11.9,0.0%
1,2010,David Akers (FA),32,38,84.2,50,0,10,10,7,1,47,47,16,140.0,8.8,0.0%
7,2009,David Akers (FA),32,37,86.5,52,0,0,0,0,0,43,43,16,43.0,2.7,0.0%
6,2008,David Akers (FA),33,40,82.5,51,0,0,0,0,0,33,33,16,33.0,2.1,0.0%
23,2007,David Akers (FA),24,32,75.0,53,0,0,0,0,0,15,15,16,15.0,0.9,0.0%
2,2006,David Akers (FA),18,23,78.3,47,0,0,0,0,0,48,48,16,48.4,3.0,0.0%
25,2005,David Akers (FA),16,22,72.7,50,0,0,0,0,0,23,23,12,23.0,1.9,0.0%
9,2004,David Akers (FA),27,32,84.4,51,0,0,0,0,0,41,41,16,41.0,2.6,0.0%
8,2003,David Akers (FA),24,29,82.8,57,0,0,0,0,0,42,42,16,42.0,2.6,0.0%
4,2002,David Akers (FA),30,34,88.2,51,0,0,0,0,0,43,43,16,44.0,2.8,0.0%
