Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
68,2016,Larry Donnell (FA),15,22,92,6.1,15,0,1,0,0,0,1,14,13.2,0.9,0.0%
41,2015,Larry Donnell (FA),29,41,223,7.7,22,2,2,0,0,0,0,8,34.3,4.3,0.0%
12,2014,Larry Donnell (FA),63,92,623,9.9,32,5,6,0,0,0,4,16,90.3,5.6,0.0%
97,2013,Larry Donnell (FA),3,6,31,10.3,11,0,0,0,0,0,0,16,3.1,0.2,0.0%
