Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
41,2019,Eli Manning (FA),91,147,61.9,"1,042",7.1,6,5,5,4,7,0,1,4,59.3,14.8,2.3%
17,2018,Eli Manning (FA),380,576,66.0,"4,299",7.5,21,11,47,15,20,1,4,16,240.0,15.0,2.3%
23,2017,Eli Manning (FA),352,571,61.6,"3,468",6.1,19,13,31,12,26,1,5,15,187.3,12.5,2.3%
21,2016,Eli Manning (FA),377,598,63.0,"4,027",6.7,26,16,21,21,-9,0,4,16,224.1,14.0,2.3%
10,2015,Eli Manning (FA),387,618,62.6,"4,432",7.2,35,14,27,20,61,0,4,16,287.5,18.0,2.3%
10,2014,Eli Manning (FA),379,601,63.1,"4,410",7.3,30,14,28,12,31,1,4,16,269.5,16.8,2.3%
21,2013,Eli Manning (FA),317,551,57.5,"3,818",6.9,18,27,39,18,36,0,2,16,170.5,10.7,2.3%
15,2012,Eli Manning (FA),321,536,59.9,"3,948",7.4,26,15,19,20,30,0,1,16,233.0,14.6,2.3%
6,2011,Eli Manning (FA),359,589,61.0,"4,933",8.4,29,16,28,35,15,1,4,16,280.8,17.6,2.3%
11,2010,Eli Manning (FA),339,539,62.9,"4,002",7.4,31,25,16,32,70,0,5,16,230.9,14.4,2.3%
11,2009,Eli Manning (FA),317,509,62.3,"4,021",7.9,27,14,30,17,65,0,8,16,231.1,14.4,2.3%
9,2008,Eli Manning (FA),289,479,60.3,"3,238",6.8,21,10,27,20,10,1,0,16,202.4,12.7,2.3%
10,2007,Eli Manning (FA),297,529,56.1,"3,336",6.3,23,20,27,29,69,1,0,16,198.2,12.4,2.3%
12,2006,Eli Manning (FA),301,522,57.7,"3,244",6.2,24,18,25,25,21,0,0,16,191.9,12.0,2.3%
5,2005,Eli Manning (FA),294,557,52.8,"3,762",6.8,24,17,28,29,80,1,1,16,226.5,14.2,2.3%
36,2004,Eli Manning (FA),95,197,48.2,"1,043",5.3,6,9,13,6,35,0,1,9,49.2,5.5,2.3%
