Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
30,2010,Brett Favre (FA),217,358,60.6,"2,509",7.0,11,19,22,17,8,0,5,13,97.1,7.5,0.0%
3,2009,Brett Favre (FA),363,531,68.4,"4,202",7.9,33,7,34,9,7,0,2,16,282.6,17.7,0.0%
25,2008,Brett Favre (FA),256,398,64.3,"2,537",6.4,10,18,20,14,30,1,0,12,116.8,9.7,0.0%
14,2007,Brett Favre (FA),205,308,66.6,"2,406",7.8,13,8,13,16,-3,0,0,8,131.9,16.5,0.0%
11,2006,Brett Favre (FA),343,613,56.0,"3,885",6.3,18,18,21,23,29,1,0,16,200.3,12.5,0.0%
15,2005,Brett Favre (FA),372,607,61.3,"3,881",6.4,20,29,24,18,62,0,1,16,185.6,11.6,0.0%
6,2004,Brett Favre (FA),346,540,64.1,"4,088",7.6,30,17,12,16,36,0,1,16,255.0,15.9,0.0%
8,2003,Brett Favre (FA),308,471,65.4,"3,361",7.1,32,21,19,18,15,0,2,16,222.0,13.9,0.0%
12,2002,Brett Favre (FA),341,551,61.9,"3,658",6.6,27,16,26,25,73,0,4,16,221.7,13.9,0.0%
