Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
37,2021,Tyrod Taylor (NYG),91,150,60.7,966,6.4,5,5,13,19,151,3,0,6,86.7,14.5,0.2%
63,2020,Tyrod Taylor (NYG),16,30,53.3,208,6.9,0,0,2,6,7,0,0,2,9.0,4.5,0.2%
57,2019,Tyrod Taylor (NYG),4,6,66.7,33,5.5,1,0,0,10,7,0,0,8,6.0,0.8,0.2%
41,2018,Tyrod Taylor (NYG),42,85,49.4,473,5.6,2,2,13,16,125,1,0,4,41.4,10.4,0.2%
16,2017,Tyrod Taylor (NYG),263,420,62.6,"2,799",6.7,14,4,46,84,427,4,2,15,222.6,14.8,0.2%
8,2016,Tyrod Taylor (NYG),269,436,61.7,"3,023",6.9,17,6,42,95,580,6,2,15,270.9,18.1,0.2%
16,2015,Tyrod Taylor (NYG),242,380,63.7,"3,035",8.0,20,6,36,104,568,4,1,14,270.6,19.3,0.2%
73,2014,Tyrod Taylor (NYG),0,0,0,0,0,0,0,0,4,-3,0,0,1,-0.3,-0.3,0.2%
52,2013,Tyrod Taylor (NYG),1,5,20.0,2,0.4,0,1,0,8,64,0,0,3,5.1,1.7,0.2%
40,2012,Tyrod Taylor (NYG),17,29,58.6,179,6.2,0,1,3,14,73,1,0,7,18.5,2.6,0.2%
68,2011,Tyrod Taylor (NYG),1,1,100.0,18,18.0,0,0,2,1,2,0,0,3,0.9,0.3,0.2%
