Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
246,2019,Brandon LaFell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
128,2018,Brandon LaFell (FA),12,16,135,11.3,24,1,2,0,0,0,0,6,25.5,4.3,0.0%
58,2017,Brandon LaFell (FA),52,89,548,10.5,45,6,3,0,0,0,0,16,72.8,4.6,0.0%
33,2016,Brandon LaFell (FA),64,107,862,13.5,86,11,6,1,-2,0,0,16,122.0,7.6,0.0%
84,2015,Brandon LaFell (FA),37,74,515,13.9,54,7,0,2,9,0,0,11,52.4,4.8,0.0%
22,2014,Brandon LaFell (FA),74,119,953,12.9,56,10,7,2,13,0,1,16,136.6,8.5,0.0%
49,2013,Brandon LaFell (FA),49,85,627,12.8,79,5,5,2,15,0,0,16,94.2,5.9,0.0%
48,2012,Brandon LaFell (FA),44,76,677,15.4,62,13,4,3,35,0,0,14,95.2,6.8,0.0%
57,2011,Brandon LaFell (FA),36,56,613,17.0,91,0,3,0,0,0,0,16,79.3,5.0,0.0%
76,2010,Brandon LaFell (FA),38,77,468,12.3,44,0,1,1,60,0,0,14,58.8,4.2,0.0%
