Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
130,2015,Andre Caldwell (FA),10,22,72,7.2,24,1,2,1,3,0,0,14,19.5,1.4,0.0%
160,2014,Andre Caldwell (FA),5,15,47,9.4,15,0,0,0,0,0,0,16,4.7,0.3,0.0%
104,2013,Andre Caldwell (FA),16,29,200,12.5,36,2,3,1,7,0,0,16,38.7,2.4,0.0%
170,2012,Andre Caldwell (FA),1,4,18,18.0,18,0,0,1,14,0,0,8,3.2,0.4,0.0%
84,2011,Andre Caldwell (FA),37,68,317,8.6,49,0,3,0,0,0,0,13,49.7,3.8,0.0%
106,2010,Andre Caldwell (FA),25,37,345,13.8,53,0,0,1,-2,0,1,15,32.3,2.2,0.0%
71,2009,Andre Caldwell (FA),51,80,432,8.5,24,0,3,3,22,0,2,16,59.4,3.7,0.0%
117,2008,Andre Caldwell (FA),11,0,78,7.1,15,0,0,5,53,0,0,7,13.1,1.9,0.0%
