Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
201,2020,Deontay Burnett (FA),3,4,19,6.3,10,0,0,0,0,0,0,2,1.9,1.0,0.0%
169,2019,Deontay Burnett (FA),2,4,48,24.0,41,3,0,0,0,0,0,2,4.8,2.4,0.0%
151,2018,Deontay Burnett (FA),10,15,143,14.3,29,3,0,0,0,0,0,5,14.3,2.9,0.0%
