Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
133,2003,Jimmy Redmond (FA),3,7,67,22.3,29,0,0,0,0,0,0,10,6.7,0.7,0.0%
175,2002,Jimmy Redmond (FA),0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
