Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
50,2021,Emmanuel Sanders (FA),42,72,626,14.9,41,15,4,2,31,0,0,14,89.7,6.4,0.1%
45,2020,Emmanuel Sanders (FA),61,82,726,11.9,51,14,5,1,12,0,0,14,103.8,7.4,0.1%
32,2019,Emmanuel Sanders (FA),66,97,869,13.2,75,22,5,0,0,0,0,17,124.3,7.3,0.1%
24,2018,Emmanuel Sanders (FA),71,98,868,12.2,64,25,4,4,53,1,0,12,127.2,10.6,0.1%
61,2017,Emmanuel Sanders (FA),47,92,555,11.8,38,11,2,0,0,0,0,12,67.5,5.6,0.1%
21,2016,Emmanuel Sanders (FA),79,137,"1,032",13.1,64,12,5,1,4,0,0,16,133.6,8.4,0.1%
18,2015,Emmanuel Sanders (FA),76,137,"1,135",14.9,75,12,6,3,29,0,2,15,148.4,9.9,0.1%
7,2014,Emmanuel Sanders (FA),101,141,"1,404",13.9,48,24,9,8,44,0,0,16,200.8,12.6,0.1%
34,2013,Emmanuel Sanders (FA),67,112,740,11.0,55,12,6,1,25,0,0,16,114.5,7.2,0.1%
69,2012,Emmanuel Sanders (FA),44,74,626,14.2,37,11,1,1,4,0,2,16,65.0,4.1,0.1%
95,2011,Emmanuel Sanders (FA),22,43,288,13.1,32,0,2,0,0,0,0,11,41.4,3.8,0.1%
85,2010,Emmanuel Sanders (FA),28,50,376,13.4,35,0,2,0,0,0,1,13,47.6,3.7,0.1%
