Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
130,2021,Ray-Ray McCloud (SF),39,66,277,7.1,24,2,0,2,15,0,1,16,27.2,1.7,0.1%
157,2020,Ray-Ray McCloud (SF),20,22,77,3.9,13,0,0,4,65,0,1,16,12.2,0.8,0.1%
293,2019,Ray-Ray McCloud (SF),0,0,0,0,0,0,0,0,0,0,1,6,-2.0,-0.3,0.1%
185,2018,Ray-Ray McCloud (SF),5,6,36,7.2,16,0,0,2,4,0,1,10,2.0,0.2,0.1%
