Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
128,2016,Andre Johnson (FA),9,23,85,9.4,20,1,2,0,0,0,0,8,20.5,2.6,0.0%
62,2015,Andre Johnson (FA),41,77,503,12.3,35,7,4,0,0,0,0,16,74.3,4.6,0.0%
41,2014,Andre Johnson (FA),85,147,936,11.0,35,14,3,0,0,0,3,15,105.6,7.0,0.0%
12,2013,Andre Johnson (FA),109,181,"1,407",12.9,62,20,5,0,0,0,0,16,170.7,10.7,0.0%
8,2012,Andre Johnson (FA),112,163,"1,598",14.3,60,23,4,0,0,0,0,16,183.8,11.5,0.0%
70,2011,Andre Johnson (FA),33,51,492,14.9,50,0,2,1,8,0,0,7,62.0,8.9,0.0%
8,2010,Andre Johnson (FA),86,138,"1,216",14.1,60,0,8,2,10,0,0,13,170.6,13.1,0.0%
1,2009,Andre Johnson (FA),101,171,"1,569",15.5,72,0,9,2,10,0,0,16,213.9,13.4,0.0%
2,2008,Andre Johnson (FA),115,26,"1,575",13.7,65,0,8,0,0,0,0,16,207.5,13.0,0.0%
14,2007,Andre Johnson (FA),60,10,851,14.2,77,0,8,0,0,0,0,9,133.1,14.8,0.0%
18,2006,Andre Johnson (FA),103,0,"1,147",11.1,53,0,5,3,14,0,0,16,146.1,9.1,0.0%
46,2005,Andre Johnson (FA),63,20,688,10.9,53,0,2,6,10,0,0,12,81.8,6.8,0.0%
22,2004,Andre Johnson (FA),79,138,"1,142",14.5,54,0,6,4,12,0,1,16,149.4,9.3,0.0%
23,2003,Andre Johnson (FA),66,119,976,14.8,46,0,4,5,-10,0,0,16,120.6,7.5,0.0%
