Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
89,2013,Nate Burleson (FA),39,54,461,11.8,47,8,1,2,-8,0,0,9,51.3,5.7,0.0%
95,2012,Nate Burleson (FA),27,43,240,8.9,26,3,2,8,48,0,0,6,42.8,7.1,0.0%
43,2011,Nate Burleson (FA),73,110,757,10.4,47,0,3,11,85,0,1,16,100.2,6.3,0.0%
41,2010,Nate Burleson (FA),55,86,625,11.4,58,0,6,7,81,0,2,14,102.6,7.3,0.0%
39,2009,Nate Burleson (FA),63,103,812,12.9,44,0,3,2,4,0,2,13,95.6,7.4,0.0%
118,2008,Nate Burleson (FA),5,0,60,12.0,20,0,1,0,0,0,0,1,12.0,12.0,0.0%
18,2007,Nate Burleson (FA),50,16,694,13.9,45,0,9,2,4,0,0,16,123.8,7.7,0.0%
96,2006,Nate Burleson (FA),18,0,192,10.7,36,0,2,0,0,0,0,15,31.2,2.1,0.0%
90,2005,Nate Burleson (FA),30,0,328,10.9,20,0,1,2,-6,0,0,12,38.2,3.2,0.0%
14,2004,Nate Burleson (FA),68,102,"1,006",14.8,68,0,9,6,49,0,0,16,161.5,10.1,0.0%
76,2003,Nate Burleson (FA),29,57,455,15.7,52,0,2,0,0,0,1,16,55.5,3.5,0.0%
