Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
205,2021,Davion Davis (FA),1,3,17,17.0,17,0,0,0,0,0,0,2,1.7,0.9,0.0%
213,2019,Davion Davis (FA),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
