Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
11,2021,Tyler Bass (BUF),28,32,87.5,57,0,15,7,4,2,51,51,17,143.0,8.4,92.7%
3,2020,Tyler Bass (BUF),28,34,82.4,58,1,9,6,8,4,57,59,16,157.0,9.8,92.7%
