Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
34,2012,Jason Hanson (FA),32,36,88.9,53,0,0,0,0,0,38,38,16,38.0,2.4,0.0%
29,2011,Jason Hanson (FA),24,29,82.8,51,0,0,0,0,0,54,54,16,54.0,3.4,0.0%
33,2010,Jason Hanson (FA),12,14,85.7,52,0,0,0,0,0,19,19,8,19.0,2.4,0.0%
26,2009,Jason Hanson (FA),21,28,75.0,50,0,0,0,0,0,25,25,16,25.0,1.6,0.0%
27,2008,Jason Hanson (FA),16,17,94.1,56,0,0,0,0,0,19,19,13,19.0,1.5,0.0%
10,2007,Jason Hanson (FA),16,20,80.0,53,0,0,0,0,0,20,20,8,20.0,2.5,0.0%
23,2006,Jason Hanson (FA),29,33,87.9,53,0,0,0,0,0,30,30,16,30.0,1.9,0.0%
20,2005,Jason Hanson (FA),19,24,79.2,52,0,0,0,0,0,27,27,15,27.0,1.8,0.0%
23,2004,Jason Hanson (FA),24,28,85.7,48,0,0,0,0,0,28,28,16,28.0,1.8,0.0%
26,2003,Jason Hanson (FA),22,23,95.7,54,0,0,0,0,0,26,27,16,26.0,1.6,0.0%
22,2002,Jason Hanson (FA),23,28,82.1,49,0,0,0,0,0,31,31,16,31.0,1.9,0.0%
