Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
10,2014,Shaun Suisham (FA),29,32,90.6,53,0,12,6,10,1,45,45,16,144.0,9.0,0.0%
13,2013,Shaun Suisham (FA),30,32,93.8,48,0,9,13,8,0,39,39,16,135.8,8.5,0.0%
14,2012,Shaun Suisham (FA),28,31,90.3,52,0,7,8,12,1,34,34,16,131.9,8.2,0.0%
18,2011,Shaun Suisham (FA),23,31,74.2,51,2,8,7,5,1,36,36,16,112.0,7.0,0.0%
23,2010,Shaun Suisham (FA),14,15,93.3,48,1,3,2,8,0,19,19,7,69.0,9.9,0.0%
27,2009,Shaun Suisham (FA),20,24,83.3,48,0,0,0,0,0,25,25,14,25.0,1.8,0.0%
29,2008,Shaun Suisham (FA),26,36,72.2,50,0,0,0,0,0,17,17,16,17.0,1.1,0.0%
25,2007,Shaun Suisham (FA),29,35,82.9,50,0,0,0,0,0,14,14,16,14.0,0.9,0.0%
33,2006,Shaun Suisham (FA),9,11,81.8,52,0,0,0,0,0,14,14,8,14.0,1.8,0.0%
35,2005,Shaun Suisham (FA),3,4,75.0,22,0,0,0,0,0,8,8,3,8.0,2.7,0.0%
