Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
14,2021,Ryan Succop (TB),25,30,83.3,48,0,11,7,7,0,56,59,17,138.0,8.1,38.8%
8,2020,Ryan Succop (TB),28,31,90.3,50,1,10,9,7,1,52,57,16,145.0,9.1,38.8%
39,2019,Ryan Succop (TB),1,6,16.7,31,0,0,1,0,0,24,25,7,27.0,3.9,38.8%
18,2018,Ryan Succop (TB),26,30,86.7,54,0,5,13,5,3,28,31,16,117.0,7.3,38.8%
9,2017,Ryan Succop (TB),35,42,83.3,52,0,10,7,16,2,31,33,16,156.0,9.8,38.8%
19,2016,Ryan Succop (TB),22,24,91.7,53,1,4,6,8,3,39,41,16,119.0,7.4,38.8%
29,2015,Ryan Succop (TB),14,16,87.5,51,0,3,3,7,1,29,30,16,80.0,5.0,38.8%
30,2014,Ryan Succop (TB),19,22,86.4,51,0,5,7,5,2,27,27,16,93.0,5.8,38.8%
17,2013,Ryan Succop (TB),22,28,78.6,51,0,6,9,6,1,52,52,16,126.0,7.9,38.8%
21,2012,Ryan Succop (TB),28,34,82.4,52,0,4,12,10,2,17,17,16,115.0,7.2,38.8%
21,2011,Ryan Succop (TB),24,30,80.0,54,1,7,6,7,3,20,20,16,105.0,6.6,38.8%
18,2010,Ryan Succop (TB),20,26,76.9,53,0,2,2,5,1,42,42,16,79.0,4.9,38.8%
22,2009,Ryan Succop (TB),25,29,86.2,53,0,0,0,0,0,29,29,16,29.0,1.8,38.8%
