Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
28,2020,Dan Bailey (FA),15,22,68.2,53,0,6,3,4,2,37,43,16,90.0,5.6,0.0%
8,2019,Dan Bailey (FA),27,29,93.1,50,0,10,9,5,3,40,44,16,132.0,8.3,0.0%
23,2018,Dan Bailey (FA),21,28,75.0,52,0,5,11,4,1,30,31,14,99.0,7.1,0.0%
28,2017,Dan Bailey (FA),15,20,75.0,56,1,3,4,4,3,26,28,12,81.0,6.8,0.0%
12,2016,Dan Bailey (FA),27,32,84.4,56,0,9,8,7,3,46,46,16,140.0,8.8,0.0%
12,2015,Dan Bailey (FA),30,32,93.8,54,0,9,10,6,5,25,25,16,131.0,8.2,0.0%
5,2014,Dan Bailey (FA),25,29,86.2,56,0,6,6,8,5,56,56,16,149.0,9.3,0.0%
9,2013,Dan Bailey (FA),28,30,93.3,53,2,2,8,10,6,47,47,16,153.0,9.6,0.0%
10,2012,Dan Bailey (FA),29,31,93.5,51,1,5,13,7,3,37,37,16,137.0,8.6,0.0%
4,2011,Dan Bailey (FA),32,37,86.5,51,1,8,11,10,2,39,39,16,149.0,9.3,0.0%
