Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
12,2021,Harrison Butker (KC),25,28,89.3,56,0,3,11,4,7,47,49,16,140.0,8.8,97.0%
13,2020,Harrison Butker (KC),25,27,92.6,58,2,7,9,3,4,48,54,16,134.0,8.4,97.0%
1,2019,Harrison Butker (KC),34,38,89.5,56,0,9,9,13,3,45,48,16,166.0,10.4,97.0%
5,2018,Harrison Butker (KC),24,27,88.9,54,0,9,7,6,2,65,69,16,147.0,9.2,97.0%
7,2017,Harrison Butker (KC),38,42,90.5,53,0,8,16,10,4,28,28,13,160.0,12.3,97.0%
