Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
37,2012,Olindo Mare (FA),6,8,75.0,40,0,0,0,0,0,7,7,3,7.0,2.3,0.0%
30,2011,Olindo Mare (FA),22,28,78.6,45,0,0,0,0,0,44,44,16,44.0,2.8,0.0%
30,2010,Olindo Mare (FA),25,30,83.3,51,0,0,0,0,0,31,31,16,31.0,1.9,0.0%
23,2009,Olindo Mare (FA),24,26,92.3,47,0,0,0,0,0,28,28,16,28.0,1.8,0.0%
26,2008,Olindo Mare (FA),17,20,85.0,50,0,0,0,0,0,22,22,13,22.0,1.7,0.0%
7,2007,Olindo Mare (FA),6,12,50.0,46,0,0,0,0,0,21,21,8,21.0,2.6,0.0%
31,2006,Olindo Mare (FA),26,36,72.2,52,0,0,0,0,0,22,22,16,22.0,1.4,0.0%
14,2005,Olindo Mare (FA),25,30,83.3,53,0,0,0,0,0,33,33,15,33.0,2.2,0.0%
31,2004,Olindo Mare (FA),12,16,75.0,51,0,0,0,0,0,18,18,11,18.0,1.6,0.0%
15,2003,Olindo Mare (FA),22,29,75.9,52,0,0,0,0,0,33,33,16,33.0,2.1,0.0%
6,2002,Olindo Mare (FA),24,31,77.4,53,0,0,0,0,0,42,42,16,42.0,2.6,0.0%
