Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
5,2021,Matt Gay (LAR),32,34,94.1,55,0,6,15,7,4,48,49,17,159.0,9.4,98.0%
30,2020,Matt Gay (LAR),14,16,87.5,51,0,2,5,6,1,16,16,7,66.0,9.4,98.0%
4,2019,Matt Gay (LAR),27,35,77.1,58,0,6,5,11,5,43,48,16,145.0,9.1,98.0%
