Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
15,2021,Mason Crosby (GB),25,34,73.5,54,0,9,9,4,3,49,51,17,134.0,7.9,3.9%
19,2020,Mason Crosby (GB),16,16,100.0,57,1,1,5,5,4,59,63,16,120.0,7.5,3.9%
18,2019,Mason Crosby (GB),22,24,91.7,54,1,2,11,7,1,40,41,16,115.0,7.2,3.9%
6,2018,Mason Crosby (GB),30,37,81.1,53,0,4,10,11,5,34,36,16,145.0,9.1,3.9%
27,2017,Mason Crosby (GB),15,19,78.9,50,0,8,2,4,1,33,35,16,84.0,5.3,3.9%
17,2016,Mason Crosby (GB),26,30,86.7,53,1,6,13,5,1,44,47,16,129.0,8.1,3.9%
16,2015,Mason Crosby (GB),24,28,85.7,56,1,7,4,8,4,36,36,16,124.0,7.8,3.9%
8,2014,Mason Crosby (GB),27,33,81.8,55,0,7,11,5,4,53,53,16,147.0,9.2,3.9%
7,2013,Mason Crosby (GB),33,37,89.2,57,1,13,8,6,5,42,42,16,157.0,9.8,3.9%
15,2012,Mason Crosby (GB),21,33,63.6,54,0,5,5,9,2,50,50,16,126.0,7.9,3.9%
5,2011,Mason Crosby (GB),24,28,85.7,58,1,4,14,3,2,68,68,16,147.0,9.2,3.9%
4,2010,Mason Crosby (GB),22,28,78.6,56,1,4,4,7,2,46,46,16,111.0,6.9,3.9%
4,2009,Mason Crosby (GB),27,36,75.0,52,0,0,0,0,0,48,49,16,48.0,3.0,3.9%
7,2008,Mason Crosby (GB),27,34,79.4,53,0,0,0,0,0,33,33,16,33.0,2.1,3.9%
11,2007,Mason Crosby (GB),31,39,79.5,53,0,0,0,0,0,20,20,16,20.0,1.3,3.9%
