Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
36,2014,Garrett Hartley (FA),3,3,100.0,43,0,0,2,1,0,2,2,2,12.0,6.0,0.0%
24,2013,Garrett Hartley (FA),22,30,73.3,55,2,5,5,9,1,41,41,14,118.0,8.4,0.0%
17,2012,Garrett Hartley (FA),18,22,81.8,53,0,9,4,2,3,57,57,16,119.0,7.4,0.0%
22,2010,Garrett Hartley (FA),20,25,80.0,52,0,2,1,4,1,40,40,14,70.0,5.0,0.0%
38,2009,Garrett Hartley (FA),9,11,81.8,38,0,0,0,0,0,10,11,5,10.0,2.0,0.0%
16,2008,Garrett Hartley (FA),13,13,100.0,47,0,0,0,0,0,28,28,8,28.0,3.5,0.0%
