Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
18,2009,Jason Elam (FA),12,19,63.2,50,0,0,0,0,0,32,33,11,32.0,2.9,0.0%
8,2008,Jason Elam (FA),20,22,90.9,48,0,0,0,0,0,33,33,12,33.0,2.8,0.0%
27,2007,Jason Elam (FA),12,16,75.0,49,0,0,0,0,0,12,12,8,12.0,1.5,0.0%
15,2006,Jason Elam (FA),27,29,93.1,51,0,0,0,0,0,34,34,16,34.2,2.1,0.0%
7,2005,Jason Elam (FA),24,32,75.0,51,0,0,0,0,0,43,44,16,43.0,2.7,0.0%
8,2004,Jason Elam (FA),29,34,85.3,52,0,0,0,0,0,42,42,16,42.0,2.6,0.0%
10,2003,Jason Elam (FA),27,31,87.1,51,0,0,0,0,0,39,39,16,39.0,2.4,0.0%
5,2002,Jason Elam (FA),26,36,72.2,55,0,0,0,0,0,42,43,16,42.0,2.6,0.0%
